,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,203500,00,0,525,461,14092.0,2136,3629,0.588591,1,10,0.1,867,1555,0.557556,1812,2177,3989,610,468,529,749,1373,5140
1,1628991,00,0,112,110,3027.0,626,1290,0.485271,186,482,0.385892,274,363,0.75482,126,400,526,140,88,169,192,439,1712
2,1629713,00,0,34,0,218.0,33,78,0.423076,9,26,0.346153,10,21,0.47619,6,24,30,16,6,9,8,16,85
3,2544,00,0,1258,1257,48328.0,12424,24654,0.503934,1860,5409,0.343871,7379,10044,0.734667,1502,7851,9353,9298,2011,951,4402,2313,34087
4,1628518,00,0,30,0,143.0,15,30,0.5,0,0,0.0,12,22,0.545454,16,28,44,7,4,6,4,15,42
5,1629610,00,0,6,0,19.0,3,7,0.428571,1,4,0.25,0,0,0.0,1,0,1,1,1,0,0,3,7
6,1629660,00,0,28,0,315.0,37,106,0.349056,13,47,0.276595,11,14,0.785714,6,35,41,43,14,3,18,28,98
7,1628993,00,0,27,0,118.0,11,31,0.354838,1,2,0.5,8,14,0.571428,11,26,37,3,1,3,3,13,31
8,1629168,00,0,15,0,96.0,14,36,0.388888,4,13,0.307692,4,4,1.0,3,11,14,2,4,0,5,4,36
9,1629661,00,0,49,1,996.0,136,325,0.418461,91,229,0.397379,35,46,0.760869,39,101,140,52,30,16,29,72,398
10,201949,00,0,634,220,13081.0,1992,4177,0.476897,324,1046,0.309751,747,1078,0.692949,517,1767,2284,1355,497,570,928,1421,5055
11,1629640,00,0,9,0,92.0,16,31,0.516129,2,5,0.4,7,10,0.7,5,12,17,6,5,1,3,9,41
12,1626169,00,0,305,64,6255.0,743,1996,0.372244,239,821,0.291108,283,370,0.764864,164,822,986,431,270,66,351,592,2008
13,204020,00,0,301,71,7740.0,1136,2642,0.429977,371,1036,0.358108,503,653,0.77029,170,786,956,735,267,136,349,572,3146
14,203999,00,0,373,332,10817.0,2433,4639,0.524466,338,999,0.338338,1115,1351,0.825314,971,2638,3609,2032,415,264,935,1062,6319
15,1627745,00,0,104,49,1470.0,193,290,0.665517,2,9,0.222222,92,136,0.67647,119,199,318,65,40,72,54,241,480
16,1626145,00,0,312,40,5606.0,663,1540,0.430519,174,505,0.344554,233,290,0.803448,65,418,483,1108,314,25,232,315,1733
17,1627884,00,0,163,45,3193.0,415,821,0.505481,68,246,0.276422,207,300,0.69,213,357,570,115,118,104,90,324,1105
18,201599,00,0,875,713,24327.0,3337,4985,0.669408,1,11,0.090909,1626,3431,0.473914,2801,6650,9451,818,508,1401,1209,2296,8301
19,202709,00,0,592,117,12894.0,1599,3623,0.441346,284,858,0.331002,588,768,0.765625,298,1228,1526,1703,452,132,584,894,4070
20,1629662,00,0,12,0,64.0,14,32,0.4375,9,20,0.45,5,5,1.0,1,10,11,2,2,2,2,9,42
21,1626163,00,0,314,36,6969.0,1107,2620,0.422519,377,1081,0.348751,519,693,0.748917,241,1039,1280,523,145,118,274,497,3110
22,202683,00,0,634,222,13839.0,3013,5559,0.542003,43,150,0.286666,1293,1666,0.77611,1856,2974,4830,539,257,298,974,1381,7362
23,1628379,00,0,164,44,3821.0,585,1327,0.440844,260,647,0.401854,183,212,0.863207,42,415,457,353,82,29,169,243,1613
24,1629742,00,0,4,0,15.0,0,3,0.0,0,1,0.0,0,0,0.0,0,3,3,1,0,0,2,3,0
25,203077,00,0,442,356,10929.0,1459,3079,0.473855,28,103,0.271844,796,1113,0.715184,701,1707,2408,514,296,303,397,951,3742
26,1629663,00,0,10,0,62.0,8,21,0.380952,4,11,0.363636,0,3,0.0,1,9,10,5,2,0,2,10,20
27,1628467,00,0,209,74,4403.0,540,1161,0.465116,224,632,0.35443,171,213,0.802816,260,658,918,198,82,203,132,410,1475
28,202688,00,0,446,349,13138.0,2250,5474,0.411033,711,2012,0.353379,1058,1313,0.805788,236,1141,1377,1769,385,75,1086,884,6269
29,1628995,00,0,140,61,3324.0,482,1315,0.366539,190,563,0.337477,228,327,0.697247,89,430,519,143,66,52,159,281,1382
30,1629723,00,0,15,0,167.0,23,35,0.657142,4,9,0.444444,1,2,0.5,18,28,46,21,7,3,6,7,51
31,1627788,00,0,126,19,2157.0,328,787,0.416772,178,478,0.372384,91,120,0.758333,34,232,266,126,67,18,79,163,925
32,1628436,00,0,102,33,1669.0,238,595,0.4,129,380,0.339473,66,85,0.77647,61,222,283,112,44,84,51,123,671
33,2594,00,0,1224,422,31056.0,4088,9244,0.442232,2437,5685,0.428671,1290,1472,0.876358,344,3281,3625,2107,799,403,1284,2512,11903
34,1629066,00,0,102,50,1794.0,262,583,0.449399,83,249,0.333333,89,120,0.741666,74,269,343,85,58,28,112,212,696
35,1628398,00,0,201,112,6042.0,1218,2714,0.448784,357,1092,0.326923,431,588,0.732993,196,911,1107,388,111,81,358,436,3224
36,203897,00,0,353,266,10857.0,2250,5035,0.446871,646,1721,0.375363,1094,1336,0.818862,163,1116,1279,1275,336,95,897,781,6240
37,1627746,00,0,148,43,2595.0,429,872,0.491972,30,85,0.352941,181,242,0.747933,223,438,661,152,53,99,151,314,1069
38,203087,00,0,481,128,10196.0,1874,4218,0.444286,494,1457,0.339052,790,928,0.851293,252,1536,1788,770,352,173,407,793,5032
39,1629641,00,0,27,1,298.0,24,64,0.375,5,23,0.217391,16,23,0.695652,14,18,32,6,8,6,9,29,69
40,1629724,00,0,5,0,9.0,0,3,0.0,0,1,0.0,0,2,0.0,0,1,1,0,0,0,0,0,0
41,1627774,00,0,164,37,2241.0,337,739,0.456021,100,324,0.308641,89,123,0.723577,83,231,314,90,63,47,86,198,863
42,1627747,00,0,207,86,5295.0,950,2207,0.430448,264,772,0.341968,401,564,0.710992,151,607,758,724,217,51,379,399,2565
43,1628388,00,0,136,2,1174.0,193,388,0.497422,31,87,0.356321,36,59,0.610169,93,178,271,39,22,26,29,98,453
44,1629665,00,0,4,0,26.0,4,10,0.4,0,4,0.0,2,2,1.0,0,0,0,2,0,0,1,2,10
45,201584,00,0,811,518,21940.0,2961,6567,0.45089,876,2259,0.387782,967,1134,0.852733,364,1763,2127,1353,809,213,762,1339,7765
46,1627814,00,0,96,47,2202.0,331,790,0.418987,127,367,0.346049,151,177,0.853107,51,323,374,175,82,7,92,169,940
47,203458,00,0,461,180,9095.0,1408,2846,0.494729,94,285,0.329824,773,1120,0.690178,943,1950,2893,392,190,459,572,1225,3683
48,202695,00,0,518,491,16047.0,3465,7055,0.491141,748,1964,0.380855,1942,2273,0.854377,639,2684,3323,1377,921,344,819,891,9620
49,203086,00,0,442,91,7081.0,952,1969,0.483494,322,822,0.391727,257,316,0.813291,318,1400,1718,391,82,127,303,956,2483
50,203081,00,0,607,607,22045.0,4808,11024,0.436139,1732,4663,0.371434,3238,3643,0.888827,377,2162,2539,3932,592,192,1683,1213,14586
51,1629642,00,0,48,5,572.0,65,151,0.430463,14,59,0.237288,28,44,0.636363,31,77,108,22,13,14,15,72,172
52,1626172,00,0,224,36,3121.0,418,733,0.570259,6,40,0.15,137,228,0.600877,353,479,832,214,107,132,112,417,979
53,201572,00,0,778,740,23798.0,5012,10148,0.49389,520,1539,0.337881,2540,3207,0.792017,1635,3332,4967,1185,452,1398,1398,2104,13084
54,201577,00,0,826,584,18511.0,3040,5744,0.529247,44,147,0.299319,1149,1530,0.75098,1908,2283,4191,683,199,968,908,1616,7273
55,201567,00,0,713,630,22802.0,4280,9673,0.442468,1223,3302,0.370381,3210,3875,0.828387,1972,5972,7944,1696,486,322,1411,1499,12993
56,200768,00,0,908,672,28684.0,4289,10136,0.423145,1685,4602,0.366145,3118,3854,0.809029,734,3171,3905,5623,1226,263,2101,2468,13381
57,1627789,00,0,210,33,3336.0,405,1038,0.390173,178,544,0.327205,234,284,0.823943,74,335,409,180,78,29,164,405,1222
58,1626168,00,0,351,94,6322.0,980,2263,0.433053,313,918,0.340958,329,465,0.707526,277,1211,1488,375,140,123,297,513,2602
59,1629133,00,0,12,0,104.0,11,30,0.366666,6,13,0.461538,4,7,0.571428,2,10,12,8,1,0,8,9,32
60,203705,00,0,26,0,254.0,20,61,0.327868,9,26,0.346153,9,10,0.9,3,22,25,62,11,2,14,20,58
61,101133,00,0,618,133,10351.0,1201,2254,0.53283,8,50,0.16,799,1305,0.61226,937,1768,2705,357,357,443,601,1635,3209
62,1627748,00,0,255,65,3549.0,415,958,0.433194,130,395,0.329113,226,336,0.672619,210,498,708,157,94,169,139,453,1186
63,1629611,00,0,35,6,271.0,22,54,0.407407,3,12,0.25,9,12,0.75,4,29,33,38,8,5,14,36,56
64,1626246,00,0,223,19,2157.0,512,887,0.577226,8,25,0.32,345,447,0.771812,307,579,886,119,51,80,160,267,1377
65,1628374,00,0,170,169,5194.0,967,2248,0.43016,374,1050,0.35619,436,514,0.848249,213,1078,1291,228,118,96,249,321,2744
66,1628997,00,0,18,1,317.0,37,84,0.440476,20,37,0.54054,17,21,0.809523,10,28,38,23,12,7,15,32,111
67,1628998,00,0,48,3,903.0,89,207,0.429951,18,77,0.233766,42,65,0.646153,38,120,158,95,39,9,44,78,238
68,1629725,00,0,3,0,16.0,1,5,0.2,0,1,0.0,0,0,0.0,0,2,2,2,1,1,0,0,2
69,1629103,00,0,31,4,495.0,71,181,0.392265,25,96,0.260416,30,31,0.967741,12,84,96,23,7,9,20,51,197
