,PLAYER_NAME_LAST_FIRST,PLAYER_ID,GAMESTREAK,STARTDATE,ENDDATE,ACTIVESTREAK,NUMSEASONS,LASTSEASON,FIRSTSEASON,PTS,PTS_PG
44,"James, LeBron",2544,161,2005-01-03T00:00:00,2007-01-03T00:00:00,0,3,2006-07,2004-05,4789,29.7
45,"O'Neal, Shaquille",406,161,1999-11-14T00:00:00,2001-11-27T00:00:00,0,3,2001-02,1999-00,4697,29.2
46,"O'Neal, Jermaine",979,159,2002-01-23T00:00:00,2004-01-28T00:00:00,0,3,2003-04,2001-02,3270,20.6
47,"Stoudemire, Amar'e",2405,158,2009-11-15T00:00:00,2012-01-11T00:00:00,0,3,2011-12,2009-10,3853,24.4
48,"Robinson, David",764,157,1994-03-16T00:00:00,1996-03-04T00:00:00,0,3,1995-96,1993-94,4299,27.4
49,"Redd, Michael",2072,154,2005-11-01T00:00:00,2007-12-12T00:00:00,0,3,2007-08,2005-06,3951,25.7
50,"Abdur-Rahim, Shareef",949,151,1997-04-01T00:00:00,1999-11-26T00:00:00,0,4,1999-00,1996-97,3393,22.5
51,"Durant, Kevin",201142,149,2017-04-08T00:00:00,2019-04-10T00:00:00,1,3,2018-19,2016-17,3880,26.0
52,"Wade, Dwyane",2548,148,2008-02-01T00:00:00,2010-02-16T00:00:00,0,3,2009-10,2007-08,4164,28.1
53,"Rice, Glen",779,147,1996-11-09T00:00:00,1998-03-26T00:00:00,0,2,1997-98,1996-97,3680,25.0
54,"O'Neal, Shaquille",406,147,1993-04-02T00:00:00,1995-02-23T00:00:00,0,3,1994-95,1992-93,4239,28.8
55,"Manning, Danny",330,145,1992-01-06T00:00:00,1993-12-22T00:00:00,0,3,1993-94,1991-92,3268,22.5
56,"Westbrook, Russell",201566,144,2011-12-29T00:00:00,2013-04-15T00:00:00,0,2,2012-13,2011-12,3411,23.7
57,"Cummings, Terry",187,144,1988-02-27T00:00:00,1990-01-19T00:00:00,0,3,1989-90,1987-88,3206,22.3
58,"Duncan, Tim",1495,143,2001-01-02T00:00:00,2002-11-14T00:00:00,0,3,2002-03,2000-01,3527,24.7
59,"Wilkins, Dominique",1122,143,1987-12-11T00:00:00,1989-04-21T00:00:00,0,2,1988-89,1987-88,4188,29.3
60,"Bryant, Kobe",977,141,2005-02-13T00:00:00,2007-01-04T00:00:00,0,3,2006-07,2004-05,4562,32.4
61,"West, David",2561,139,2007-12-15T00:00:00,2009-11-13T00:00:00,0,3,2009-10,2007-08,2896,20.8
63,"Hamilton, Richard",1888,136,2005-04-17T00:00:00,2007-03-03T00:00:00,0,3,2006-07,2004-05,2799,20.6
62,"Towns, Karl-Anthony",1626157,136,2016-01-06T00:00:00,2017-10-30T00:00:00,0,3,2017-18,2015-16,3176,23.4
65,"Stojakovic, Peja",978,134,2003-03-14T00:00:00,2005-01-17T00:00:00,0,3,2004-05,2002-03,3070,22.9
66,"Daugherty, Brad",921,134,1987-12-23T00:00:00,1989-04-18T00:00:00,0,2,1988-89,1987-88,2524,18.8
64,"Anthony, Carmelo",2546,134,2008-12-02T00:00:00,2010-11-26T00:00:00,0,3,2010-11,2008-09,3507,26.2
67,"Thomas, Isaiah",202738,133,2015-12-23T00:00:00,2018-01-08T00:00:00,0,3,2017-18,2015-16,3480,26.2
68,"Malone, Karl",252,133,1986-11-25T00:00:00,1988-03-12T00:00:00,0,2,1987-88,1986-87,3258,24.5
69,"O'Neal, Shaquille",406,132,2001-12-01T00:00:00,2003-11-21T00:00:00,0,3,2003-04,2001-02,3564,27.0
70,"Drexler, Clyde",17,132,1991-04-07T00:00:00,1993-04-03T00:00:00,0,3,1992-93,1990-91,3041,23.0
71,"King, Bernard",77264,132,1989-11-21T00:00:00,1991-03-09T00:00:00,0,2,1990-91,1989-90,3470,26.3
72,"Malone, Moses",77449,132,1983-10-28T00:00:00,1985-03-04T00:00:00,0,2,1984-85,1983-84,3155,23.9
73,"Petrovic, Drazen",77845,131,1991-12-03T00:00:00,1993-03-22T00:00:00,0,2,1992-93,1991-92,2863,21.9
74,"McGrady, Tracy",1503,130,2001-12-26T00:00:00,2003-11-05T00:00:00,0,3,2003-04,2001-02,3810,29.3
76,"Barkley, Charles",787,129,1989-12-12T00:00:00,1991-04-19T00:00:00,0,2,1990-91,1989-90,3485,27.0
75,"Johnson, Kevin",134,129,1990-12-26T00:00:00,1992-04-14T00:00:00,0,2,1991-92,1990-91,2684,20.8
77,"Stackhouse, Jerry",711,127,2000-01-23T00:00:00,2001-11-04T00:00:00,0,3,2001-02,1999-00,3562,28.0
78,"Gill, Kendall",383,127,1995-12-27T00:00:00,1997-12-22T00:00:00,0,3,1997-98,1995-96,2504,19.7
79,"Lever, Lafayette",77376,127,1988-03-13T00:00:00,1990-01-13T00:00:00,0,3,1989-90,1987-88,2501,19.7
80,"Woolridge, Orlando",78615,127,1984-10-26T00:00:00,1986-02-17T00:00:00,0,2,1985-86,1984-85,2925,23.0
