,id,full_name,first_name,last_name,is_active
1601,1628605,Dusty Hannahs,Dusty,Hannahs,False
1602,76937,Alex Hannum,Alex,Hannum,False
1603,76938,Don Hanrahan,Don,Hanrahan,False
1604,76939,Rollen Hans,Rollen,Hans,False
1605,203162,Ben Hansbrough,Ben,Hansbrough,False
1606,201946,Tyler Hansbrough,Tyler,Hansbrough,False
1607,76942,Bob Hansen,Bob,Hansen,False
1608,76940,Glenn Hansen,Glenn,Hansen,False
1609,76941,Lars Hansen,Lars,Hansen,False
1610,2580,Travis Hansen,Travis,Hansen,False
1611,1682,Reggie Hanson,Reggie,Hanson,False
1612,76944,Bill Hanzlik,Bill,Hanzlik,False
1613,202376,Luke Harangody,Luke,Harangody,False
1614,358,Anfernee Hardaway,Anfernee,Hardaway,False
1615,896,Tim Hardaway,Tim,Hardaway,False
1616,203501,Tim Hardaway Jr.,Tim,Hardaway Jr.,True
1617,201935,James Harden,James,Harden,True
1618,76945,Reggie Harding,Reggie,Harding,False
1619,76946,Charlie Hardnett,Charlie,Hardnett,False
1620,76947,Alan Hardy,Alan,Hardy,False
1621,76948,James Hardy,James,Hardy,False
1622,76949,John Hargis,John,Hargis,False
1623,203090,Maurice Harkless,Maurice,Harkless,True
1624,76950,Jerry Harkness,Jerry,Harkness,False
1625,76951,Skip Harlicka,Skip,Harlicka,False
1626,76952,Jerome Harmon,Jerome,Harmon,False
1627,157,Derek Harper,Derek,Harper,False
1628,1629607,Jared Harper,Jared,Harper,True
1629,202712,Justin Harper,Justin,Harper,False
1630,76954,Mike Harper,Mike,Harper,False
1631,166,Ron Harper,Ron,Harper,False
1632,1723,Matt Harpring,Matt,Harpring,False
1633,1626149,Montrezl Harrell,Montrezl,Harrell,True
1634,202725,Josh Harrellson,Josh,Harrellson,False
1635,2492,Adam Harrington,Adam,Harrington,False
1636,1733,Al Harrington,Al,Harrington,False
1637,2454,Junior Harrington,Junior,Harrington,False
1638,970,Othella Harrington,Othella,Harrington,False
1639,76956,Art Harris,Art,Harris,False
1640,76957,Bernie Harris,Bernie,Harris,False
1641,76959,Bob Harris,Bob,Harris,False
1642,76958,Chris Harris,Chris,Harris,False
1643,2734,Devin Harris,Devin,Harris,False
1644,203548,Elias Harris,Elias,Harris,False
1645,203914,Gary Harris,Gary,Harris,True
1646,203925,Joe Harris,Joe,Harris,True
1647,446,Lucious Harris,Lucious,Harris,False
1648,202412,Manny Harris,Manny,Harris,False
1649,200839,Mike Harris,Mike,Harris,False
1650,76960,Steve Harris,Steve,Harris,False
1651,202227,Terrel Harris,Terrel,Harris,False
1652,202699,Tobias Harris,Tobias,Harris,True
1653,76961,Tony Harris,Tony,Harris,False
1654,1626151,Aaron Harrison,Aaron,Harrison,False
1655,1626150,Andrew Harrison,Andrew,Harrison,False
1656,76962,Bob Harrison,Bob,Harrison,False
1657,2758,David Harrison,David,Harrison,False
1658,1627885,Shaquille Harrison,Shaquille,Harrison,True
1659,2078,Jason Hart,Jason,Hart,False
1660,1628404,Josh Hart,Josh,Hart,True
1661,1628392,Isaiah Hartenstein,Isaiah,Hartenstein,True
1662,176,Antonio Harvey,Antonio,Harvey,False
1663,2051,Donnell Harvey,Donnell,Harvey,False
1664,202238,Kenny Hasbrouck,Kenny,Hasbrouck,False
1665,321,Scott Haskin,Scott,Haskin,False
1666,76965,Clem Haskins,Clem,Haskins,False
1667,2617,Udonis Haslem,Udonis,Haslem,True
1668,2239,Trenton Hassell,Trenton,Hassell,False
1669,76967,Billy Hassett,Billy,Hassett,False
1670,76966,Joey Hassett,Joey,Hassett,False
1671,76968,Scott Hastings,Scott,Hastings,False
1672,2213,Kirk Haston,Kirk,Haston,False
1673,76969,Vern Hatton,Vern,Hatton,False
1674,76970,John Havlicek,John,Havlicek,False
1675,201150,Spencer Hawes,Spencer,Hawes,False
1676,76971,Steve Hawes,Steve,Hawes,False
